month,stop_id,stop_name,boardings,alightings
2023-09,785,Oakland & Academy,33,56
2023-09,788,Ransom & N. Park,712,922
2023-09,799,Rose & Walnut,0,1
2023-09,1004,Kalamazoo Transit Center,47727,42508
2023-09,1011,Kalamazoo Transit Center,2237,2563
2023-09,1062,E. Michigan & S. Pitcher,79,82
2023-09,1067,W. Michigan & Academy,199,112
2023-09,1079,Rose St & Butler,0,45
2023-09,1082,S Rose St & Vine,12,6
2023-09,1084,Lovell & S. Burdick,8,32
2023-10,1,Rose at Water (NW Corner),2953,2950
2023-10,2,Rose at Michigan (SW side),237,103
2023-10,3,Rose at South (SW Corner),159,174
2023-10,4,Lovell at St. Johns (NE Corner),10,16
2023-10,5,Westnedge at Lovell (SW side),158,46
2023-10,6,Westnedge at Walnut (NW corner),84,115
2023-10,7,Westnedge at Vine (NW Corner),596,528
2023-10,51,Park at W. Vine (SE Corner),340,479
2023-10,52,Park at 519 Walnut,133,162
2023-10,53,Park at Lovell (SE Corner),20,103
2023-10,54,Park at South (NE Corner),50,425
2023-10,96,Portage at Walnut (SE Corner),127,172
2023-10,137,Kalamazoo & Park Street,65,62
2023-10,182,Michigan &,61,204
2023-10,184,Rose & Water,67,594
2023-10,210,Burdick & North,3,11
2023-10,260,North & N. Park,25,164
2023-10,261,North & Westnedge,72,127
2023-10,262,North & Simpson,40,154
2023-10,263,North & Woodward,16,74
2023-10,264,North St & Hawley street,32,259
2023-10,295,North & Stewart/Hawley,167,28
2023-10,296,North & Woodward,31,22
2023-10,297,North & Simpson,48,23
2023-10,298,North & Westnedge,53,116
2023-10,299,Ransom & Church,62,207
2023-10,300,Ransom & N. Rose,0,10
2023-10,515,Rose & Vine,22,13
2023-10,516,Rose & Walnut,10,0
2023-10,517,Rose & South,95,142
2023-10,518,Walnut & Burdick,218,560
2023-10,562,Walnut & Burdick,477,160
2023-10,563,Kalamazoo & Greenwich,52,5
2023-10,564,Kalamazoo & Elm,111,87
2023-10,565,Kalamazoo & Stuart,87,128
2023-10,605,W. Main & Catherine,34,52
2023-10,606,W. Main & RR Tracks,55,193
2023-10,607,North & Park,9,30
2023-10,628,Lovell & Westnedge,177,112
2023-10,629,Lovell & Oak,79,193
2023-10,630,Lovell & Davis,85,72
2023-10,640,South & Oak,240,84
2023-10,641,South & Westnedge,1,78
2023-10,776,Portage at South (NW Corner),52,17
